trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,3,-52.07816270196304,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.9289283222643,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.50829801036332,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.90519193602604,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.25113383659632,"{0: 8, 1: 5, 2: 10, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.9553789644292,"{0: 10, 1: 4, 2: 10, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.61806886614772,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.93471307110697,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.4062935887038,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.861589757530936,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.20550571048096,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.85532916477064,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.41852910864127,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.83765525176017,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.7827634104685,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.85267302143501,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.22308355254258,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.16434949562992,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.07824895924672,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.93216885858834,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,2,-132.59250743988656,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.07455035473522,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.21067815359334,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.00447332366856,"{0: 13, 1: 4, 2: 0, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.3129557615629,"{0: 13, 1: 7, 2: 1, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.9066996468895,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.06818293783219,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-93.89271659933017,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,9,-33.38955002780726,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.38273736962205,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
