trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-150.18374809921434,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-44.522623167209275,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-87.21965994680342,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-100.42892338195351,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,9,-101.27208711844136,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-165.3731802833402,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-42.113914888681094,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,8,-28.959239132843575,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-101.05764429882046,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-41.87900210097237,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-65.32636690035379,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,5,-79.64010002847327,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-11.447904136928006,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-1.294083400749087,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,9,-24.62946212029743,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,11,-18.256927827539318,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,1,-51.85386835507864,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,11.102188486471444,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-56.75699972644418,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,16.144880818636473,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,5,14.748467602154484,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,8,-60.04322618618952,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-81.02506472780829,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,6,-61.307703580087136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,4,-87.51201285778377,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",20,0,-94.15478780302249,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-37.04178641566006,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,10.489177738435458,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,22.461220153372082,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-116.823158671047,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
