trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,0,-68.79780701354996,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.75, 'e': 0.9999980000006666}",30,0,-183.62180846098516,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.75, 'e': 0.9999920000106667}",25,0,-133.72162100951226,"{0: 11, 1: 0, 2: 13, 3: 1, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.999982000054}",30,0,-144.21413128473614,"{0: 16, 1: 2, 2: 11, 3: 0, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.9999680001706663}",20,0,-106.08366447251781,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.9999500004166653}",20,0,-48.565930262570646,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.9999280008639958}",30,0,-166.05273311613084,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.75, 'e': 0.9999020016006562}",25,0,-116.67210309631484,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.9998720027306434}",20,0,-63.8802243099051,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.9998380043739528}",25,0,-136.95381801897616,"{0: 14, 1: 6, 2: 1, 3: 2, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.9998000066665778}",20,0,-118.07786768221821,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.9997580097605092}",25,0,-93.35705899412217,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.9997120138237345}",30,6,-152.79428241124762,"{0: 9, 1: 4, 2: 9, 3: 1, 4: 1}",1
14,False,"{'a': 0.75, 'e': 0.9996620190402377}",20,13,6.283352187243713,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.75, 'e': 0.9996080256099974}",20,0,-57.032591897582,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.9995500337489875}",20,0,-131.61315041824017,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.9994880436891754}",20,0,-44.192701886331065,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.75, 'e': 0.9994220556785212}",25,0,-138.5693568203216,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.75, 'e': 0.9993520699809768}",25,0,-156.89482136020519,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
20,False,"{'a': 0.75, 'e': 0.9992780868764849}",25,0,-119.40149054589075,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
21,False,"{'a': 0.75, 'e': 0.9992001066609779}",20,3,-36.67807146701695,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
22,False,"{'a': 0.75, 'e': 0.9991181296463766}",20,0,-150.86563961725037,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.75, 'e': 0.9990321561605888}",25,0,-122.34429652758823,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
24,False,"{'a': 0.75, 'e': 0.9989421865475084}",20,0,-221.05444221909067,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
25,False,"{'a': 0.75, 'e': 0.9988482211670138}",20,0,-125.01110460153693,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.75, 'e': 0.9987502603949663}",25,0,-90.89641963801067,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
27,False,"{'a': 0.75, 'e': 0.9986483046232089}",25,0,-157.0445180539706,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.75, 'e': 0.9985423542595644}",20,5,-43.16859801269056,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 0}",1
29,False,"{'a': 0.75, 'e': 0.9984324097278344}",30,22,-3.114742978868179,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.75, 'e': 0.9983184714677966}",25,0,-98.80173113428602,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.75, 'e': 0.9982005399352042}",20,0,-262.7335630061648,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 6}",0
32,False,"{'a': 0.75, 'e': 0.9980786156017829}",20,0,-67.96671963340305,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
33,False,"{'a': 0.75, 'e': 0.99795269895523}",25,0,-168.2845198485568,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
34,False,"{'a': 0.75, 'e': 0.9978227904992117}",20,0,-109.99746797690891,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
35,False,"{'a': 0.75, 'e': 0.9976888907533621}",30,0,-122.90205688003795,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
36,False,"{'a': 0.75, 'e': 0.9975510002532796}",25,12,-12.076566334024792,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.75, 'e': 0.9974091195505261}",25,0,-73.23492722763532,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
38,False,"{'a': 0.75, 'e': 0.9972632492126244}",20,0,-165.76571885167257,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.75, 'e': 0.9971133898230555}",20,0,-265.42388829328894,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 5}",0
40,False,"{'a': 0.75, 'e': 0.9969595419812568}",25,0,-100.8020050766083,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
