trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.9999532864033162}",20,0,-101.33940361065835,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.9999519325445377}",20,0,-46.21425471465322,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.999950539450011}",25,0,-132.80484223846597,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.75, 'e': 0.9999491059827712}",20,0,-153.19335815828552,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
5,False,"{'a': 0.75, 'e': 0.999947630972914}",20,0,-59.60141838771479,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.9999461132166406}",25,0,-71.46483837195622,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.9999445514752772}",35,2,-150.43617152757358,"{0: 20, 1: 4, 2: 7, 3: 0, 4: 2}",1
8,False,"{'a': 0.75, 'e': 0.9999429444742645}",20,0,-160.82252322684138,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.9999412909021186}",25,0,-182.89521103399446,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.9999395894093617}",20,0,-103.09194223926258,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.9999378386074222}",30,0,-204.8438678112096,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.75, 'e': 0.9999360370675026}",25,0,-164.011486431594,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.75, 'e': 0.9999341833194143}",25,0,-118.3974066964534,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",1
